pre_bo	post_bo	runs_scored	frequency
0	0	1	7603
0	1	0	53555
0	2	0	10631
0	4	0	985
0	8	0	157655
1	0	1	2
1	0	2	1659
1	1	1	9
1	2	0	3380
1	2	1	641
1	3	0	10291
1	4	0	176
1	4	1	232
1	5	0	1941
1	6	0	1804
1	8	0	846
1	8	1	16
1	9	0	24592
1	10	0	3638
1	12	0	99
1	16	0	5617
2	0	1	10
2	0	2	475
2	1	1	906
2	2	1	794
2	3	0	2344
2	4	0	524
2	4	1	83
2	5	0	1658
2	6	0	104
2	8	0	56
2	8	1	47
2	9	0	187
2	10	0	7825
2	12	0	4012
2	16	0	80
3	0	3	421
3	1	2	2
3	2	1	4
3	2	2	149
3	3	1	489
3	4	1	10
3	4	2	61
3	5	0	65
3	5	1	307
3	6	0	373
3	6	1	542
3	7	0	2366
3	8	2	6
3	9	0	32
3	9	1	27
3	10	0	31
3	10	1	23
3	11	0	4972
3	12	0	4
3	12	1	16
3	13	0	1420
3	14	0	1253
3	16	0	1
3	17	0	112
3	18	0	103
3	20	0	1100
3	24	0	14
4	0	1	29
4	0	2	58
4	1	1	341
4	2	1	104
4	4	1	17
4	5	0	289
4	8	0	6
4	8	1	405
4	9	0	8
4	10	0	1
4	12	0	927
4	16	0	8
5	0	2	2
5	0	3	149
5	1	1	2
5	1	2	1
5	2	1	71
5	2	2	53
5	3	1	649
5	4	1	5
5	4	2	28
5	5	1	197
5	6	0	256
5	6	1	170
5	7	0	345
5	8	1	1
5	8	2	2
5	9	0	4
5	9	1	785
5	10	0	4
5	10	1	237
5	11	0	90
5	12	0	37
5	12	1	10
5	13	0	1258
5	14	0	138
5	16	1	270
5	17	0	14
5	18	0	17
5	20	0	40
5	24	0	3
6	0	3	103
6	1	2	161
6	2	2	180
6	3	1	27
6	4	1	35
6	4	2	18
6	5	1	285
6	6	1	17
6	7	0	427
6	8	2	9
6	9	1	15
6	10	0	3
6	10	1	278
6	11	0	20
6	12	0	3
6	12	1	451
6	13	0	31
6	14	0	1362
6	16	1	5
6	18	0	12
6	20	0	11
6	24	0	1
7	0	4	110
7	2	3	45
7	3	1	1
7	3	2	155
7	4	2	1
7	4	3	21
7	5	1	2
7	5	2	100
7	6	1	44
7	6	2	146
7	7	1	647
7	8	3	3
7	9	2	12
7	10	2	7
7	11	0	1
7	11	1	239
7	12	2	10
7	13	1	363
7	14	0	2
7	14	1	182
7	15	0	1336
7	17	1	12
7	18	1	13
7	19	0	11
7	20	1	194
7	21	0	18
7	22	0	68
8	1	0	1
8	8	1	5111
8	9	0	38779
8	10	0	7352
8	12	0	659
8	16	0	116667
9	8	1	3
9	8	2	2004
9	9	1	11
9	10	0	4746
9	10	1	845
9	11	0	12494
9	12	0	231
9	12	1	320
9	13	0	2542
9	14	0	2015
9	16	0	1440
9	16	1	32
9	17	0	30251
9	18	0	3935
9	20	0	134
9	24	0	7024
10	8	1	41
10	8	2	747
10	9	1	1581
10	10	1	1266
10	11	0	3494
10	12	0	1226
10	12	1	126
10	13	0	1687
10	14	0	76
10	16	0	213
10	16	1	92
10	17	0	224
10	18	0	12239
10	20	0	4665
10	24	0	152
11	8	3	701
11	9	2	4
11	10	1	16
11	10	2	320
11	11	1	966
11	12	1	21
11	12	2	104
11	13	0	154
11	13	1	724
11	14	0	834
11	14	1	811
11	15	0	3520
11	16	1	1
11	16	2	5
11	17	0	77
11	17	1	74
11	18	0	87
11	18	1	65
11	19	0	9230
11	20	0	21
11	20	1	28
11	21	0	2292
11	22	0	1254
11	24	0	2557
12	8	1	111
12	8	2	225
12	9	1	1557
12	10	1	414
12	12	1	28
12	13	0	1149
12	16	0	26
12	16	1	1615
12	17	0	249
12	18	0	46
12	20	0	3055
12	24	0	80
13	8	3	260
13	9	1	9
13	9	2	4
13	10	1	168
13	10	2	118
13	11	1	1329
13	12	1	25
13	12	2	52
13	13	1	375
13	14	0	673
13	14	1	349
13	15	0	836
13	16	1	8
13	16	2	5
13	17	0	10
13	17	1	1651
13	18	0	12
13	18	1	596
13	19	0	156
13	20	0	82
13	20	1	27
13	21	0	2498
13	22	0	199
13	24	0	1107
13	24	1	32
14	8	2	4
14	8	3	188
14	9	2	511
14	10	1	2
14	10	2	425
14	11	1	54
14	12	1	107
14	12	2	36
14	13	1	673
14	14	1	38
14	15	0	1263
14	16	1	2
14	16	2	24
14	17	1	33
14	18	0	13
14	18	1	692
14	19	0	83
14	20	0	3
14	20	1	1085
14	21	0	232
14	22	0	2606
14	24	0	98
14	24	1	24
15	8	4	236
15	9	3	2
15	10	2	1
15	10	3	128
15	11	1	2
15	11	2	298
15	12	3	57
15	13	2	224
15	14	1	129
15	14	2	341
15	15	1	1321
15	16	3	6
15	17	2	21
15	18	2	31
15	19	0	2
15	19	1	655
15	20	2	10
15	21	0	3
15	21	1	766
15	22	0	3
15	22	1	379
15	23	0	2712
15	24	0	849
15	24	1	32
16	16	1	4046
16	17	0	31517
16	18	0	5851
16	20	0	446
16	24	0	93414
17	16	1	4
17	16	2	1918
17	17	1	59
17	18	0	6628
17	18	1	1301
17	19	0	11224
17	20	0	302
17	20	1	363
17	21	0	3051
17	22	0	1331
17	24	0	43530
17	24	1	29
18	10	0	1
18	16	1	30
18	16	2	943
18	17	1	2940
18	18	1	1778
18	19	0	4961
18	20	0	1317
18	20	1	154
18	21	0	978
18	22	0	9
18	24	0	22674
18	24	1	135
19	16	2	2
19	16	3	799
19	17	2	15
19	18	1	9
19	18	2	704
19	19	1	1121
19	20	1	19
19	20	2	186
19	21	0	156
19	21	1	1414
19	22	0	864
19	22	1	697
19	23	0	3637
19	24	0	19153
19	24	1	154
19	24	2	19
20	16	1	212
20	16	2	356
20	17	1	1731
20	18	1	579
20	20	1	52
20	21	0	1895
20	24	0	8836
20	24	1	12
21	16	2	1
21	16	3	371
21	17	1	13
21	17	2	8
21	18	1	266
21	18	2	292
21	19	1	1155
21	20	1	39
21	20	2	62
21	21	1	619
21	22	0	1811
21	22	1	281
21	23	0	1201
21	24	0	8486
21	24	1	66
21	24	2	12
22	16	2	5
22	16	3	258
22	17	2	801
22	18	1	8
22	18	2	436
22	19	1	3
22	20	1	149
22	20	2	36
22	21	1	285
22	22	1	4
22	23	0	1622
22	24	0	6277
22	24	1	43
22	24	2	34
23	16	4	339
23	17	3	6
23	18	2	1
23	18	3	247
23	19	1	6
23	19	2	425
23	20	2	2
23	20	3	66
23	21	1	4
23	21	2	515
23	22	1	205
23	22	2	254
23	23	1	1301
23	24	0	6951
23	24	1	47
23	24	2	50
23	24	3	4
