Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2025,Athletics,AL West,162,76,86,0,.469,.451,4th of 5,14.0,,733,817,768464,26.1,28.6,58,35,N.Kurtz (5.4),M.Kotsay (76-86)
2024,Oakland Athletics,AL West,162,69,93,0,.426,.422,4th of 5,19.5,,643,764,922286,26.5,28.4,55,32,B.Rooker (5.6),M.Kotsay (69-93)
2023,Oakland Athletics,AL West,162,50,112,0,.309,.302,5th of 5,40.0,,585,924,832352,27.1,28.0,62,41,J.Sears (2.9),M.Kotsay (50-112)
2022,Oakland Athletics,AL West,162,60,102,0,.370,.364,5th of 5,46.0,,568,770,787902,28.3,28.0,64,35,S.Murphy (3.7),M.Kotsay (60-102)
2021,Oakland Athletics,AL West,162,86,76,0,.531,.536,3rd of 5,9.0,,743,687,701430,30.1,30.1,50,27,M.Olson (5.9),B.Melvin (86-76)
2020,Oakland Athletics,AL West,60,36,24,0,.600,.576,1st of 5,--,Lost ALDS (3-1),274,232,,28.1,29.9,38,19,C.Bassitt (2.1),B.Melvin (36-24)
2019,Oakland Athletics,AL West,162,97,65,0,.599,.598,2nd of 5,10.0,Lost ALWC (1-0),845,680,1670734,27.8,30.8,49,28,M.Semien (8.4),B.Melvin (97-65)
2018,Oakland Athletics,AL West,162,97,65,0,.599,.585,2nd of 5,6.0,Lost ALWC (1-0),813,674,1573616,28.0,29.2,53,34,M.Chapman (7.4),B.Melvin (97-65)
2017,Oakland Athletics,AL West,162,75,87,0,.463,.449,5th of 5,26.0,,739,826,1475721,28.7,27.9,54,28,J.Lowrie (3.4),B.Melvin (75-87)
2016,Oakland Athletics,AL West,162,69,93,0,.426,.430,5th of 5,26.0,,653,761,1521506,28.7,27.9,51,27,K.Graveman (3.4),B.Melvin (69-93)
2015,Oakland Athletics,AL West,162,68,94,0,.420,.478,5th of 5,20.0,,694,729,1768175,27.9,27.8,52,30,S.Gray (5.4),B.Melvin (68-94)
2014,Oakland Athletics,AL West,162,88,74,0,.543,.609,2nd of 5,10.0,Lost ALWC (1-0),729,572,2003628,29.6,28.2,45,23,J.Donaldson (6.9),B.Melvin (88-74)
2013,Oakland Athletics,AL West,162,96,66,0,.593,.593,1st of 5,--,Lost ALDS (3-2),767,625,1809302,28.3,28.3,44,19,J.Donaldson (7.2),B.Melvin (96-66)
2012,Oakland Athletics,AL West,162,94,68,0,.580,.568,1st of 4,--,Lost ALDS (3-2),713,614,1679013,27.7,27.9,50,25,J.Reddick (4.6),B.Melvin (94-68)
2011,Oakland Athletics,AL West,162,74,88,0,.457,.477,3rd of 4,22.0,,645,679,1476791,29.1,27.4,48,26,G.Gonzalez (4.4),B.Geren (27-36) and B.Melvin (47-52)
2010,Oakland Athletics,AL West,162,81,81,0,.500,.526,2nd of 4,9.0,,663,626,1418391,27.8,26.0,49,23,D.Barton (5.5),B.Geren (81-81)
2009,Oakland Athletics,AL West,162,75,87,0,.463,.499,4th of 4,22.0,,759,761,1408783,29.1,25.7,51,26,A.Bailey (3.7),B.Geren (75-87)
2008,Oakland Athletics,AL West,161,75,86,0,.466,.470,3rd of 4,24.5,,646,690,1665256,27.2,26.5,51,24,M.Ellis (4.0),B.Geren (75-86)
2007,Oakland Athletics,AL West,162,76,86,0,.469,.490,3rd of 4,18.0,,741,758,1921844,28.9,26.9,54,24,M.Ellis (4.8),B.Geren (76-86)
2006,Oakland Athletics,AL West,162,93,69,0,.574,.527,1st of 4,--,Lost ALCS (4-0),771,727,1976625,29.7,27.0,40,21,B.Zito (4.4),K.Macha (93-69)
2005,Oakland Athletics,AL West,162,88,74,0,.543,.573,2nd of 4,7.0,,772,658,2109118,28.6,26.6,41,20,E.Chavez (4.8),K.Macha (88-74)
2004,Oakland Athletics,AL West,162,91,71,0,.562,.530,2nd of 4,1.0,,793,742,2201516,29.6,28.4,36,18,E.Chavez (5.5),K.Macha (91-71)
2003,Oakland Athletics,AL West,162,96,66,0,.593,.581,1st of 4,--,Lost ALDS (3-2),768,643,2216596,28.3,27.4,41,18,T.Hudson (7.5),K.Macha (96-66)
2002,Oakland Athletics,AL West,162,103,59,0,.636,.591,1st of 4,--,Lost ALDS (3-2),800,654,2169811,28.6,27.4,41,17,B.Zito (7.1),A.Howe (103-59)
2001,Oakland Athletics,AL West,162,102,60,0,.630,.640,2nd of 4,14.0,Lost ALDS (3-2),884,645,2133277,27.3,28.0,42,16,J.Giambi (9.2),A.Howe (102-60)
2000,Oakland Athletics,AL West,161,91,70,0,.565,.569,1st of 4,--,Lost ALDS (3-2),947,813,1603744,27.3,29.5,44,21,J.Giambi (7.8),A.Howe (91-70)
1999,Oakland Athletics,AL West,162,87,75,0,.537,.525,2nd of 4,8.0,,893,846,1434610,28.7,31.5,42,23,J.Giambi (5.9),A.Howe (87-75)
1998,Oakland Athletics,AL West,162,74,88,0,.457,.466,4th of 4,14.0,,804,866,1232343,28.8,31.2,45,19,K.Rogers (7.5),A.Howe (74-88)
1997,Oakland Athletics,AL West,162,65,97,0,.401,.403,4th of 4,25.0,,764,946,1264218,28.1,27.8,49,26,M.McGwire (3.1),A.Howe (65-97)
1996,Oakland Athletics,AL West,162,78,84,0,.481,.480,3rd of 4,12.0,,861,900,1148380,28.2,27.1,43,20,M.McGwire (6.4),A.Howe (78-84)
1995,Oakland Athletics,AL West,144,67,77,0,.465,.481,4th of 4,11.5,,730,761,1174310,29.5,30.9,44,23,M.McGwire (5.5),T.La Russa (67-77)
1994,Oakland Athletics,AL West,114,51,63,0,.447,.468,2nd of 4,1.0,,549,589,1242692,29.2,29.8,43,20,R.Henderson (3.5),T.La Russa (51-63)
1993,Oakland Athletics,AL West,162,68,94,0,.420,.424,7th of 7,26.0,,715,846,2035025,28.0,30.9,43,22,R.Henderson (4.5),T.La Russa (68-94)
1992,Oakland Athletics,AL West,162,96,66,0,.593,.547,1st of 7,--,Lost ALCS (4-2),745,672,2494160,30.1,32.0,44,22,M.McGwire (6.5),T.La Russa (96-66)
1991,Oakland Athletics,AL West,162,84,78,0,.519,.490,4th of 7,11.0,,760,776,2713493,29.9,30.9,46,23,D.Henderson (5.4),T.La Russa (84-78)
1990,Oakland Athletics,AL West,162,103,59,0,.636,.613,1st of 7,--,Lost WS (4-0),733,570,2900217,29.1,31.7,40,15,R.Henderson (9.9),T.La Russa (103-59)
1989,Oakland Athletics,AL West,162,99,63,0,.611,.596,1st of 7,--,Won WS (4-0),712,576,2667225,29.3,30.0,41,16,M.Moore (5.4),T.La Russa (99-63)
1988,Oakland Athletics,AL West,162,104,58,0,.642,.615,1st of 7,--,Lost WS (4-1),800,620,2287335,28.0,28.8,35,15,J.Canseco (7.3),T.La Russa (104-58)
1987,Oakland Athletics,AL West,162,81,81,0,.500,.510,3rd of 7,4.0,,806,789,1678921,27.7,28.1,45,22,C.Lansford (5.2),T.La Russa (81-81)
1986,Oakland Athletics,AL West,162,76,86,0,.469,.482,3rd of 7,16.0,,731,760,1314646,28.5,27.3,44,21,T.Phillips (4.4),J.Moore (29-44) J.Newman (2-8) and T.La Russa (45-34)
1985,Oakland Athletics,AL West,162,77,85,0,.475,.482,4th of 7,14.0,,757,787,1334599,29.6,28.9,36,17,M.Davis (4.7),J.Moore (77-85)
1984,Oakland Athletics,AL West,162,77,85,0,.475,.465,4th of 7,7.0,,738,796,1353281,29.9,27.5,37,20,R.Henderson (6.0),S.Boros (20-24) and J.Moore (57-61)
1983,Oakland Athletics,AL West,162,74,88,0,.457,.455,4th of 7,25.0,,708,782,1294941,28.1,26.9,43,22,R.Henderson (6.9),S.Boros (74-88)
1982,Oakland Athletics,AL West,162,68,94,0,.420,.423,5th of 7,25.0,,691,819,1735489,29.5,27.0,43,17,R.Henderson (6.7),B.Martin (68-94)
1981,Oakland Athletics,AL West,109,64,45,0,.587,.558,1st of 7,--,Lost ALCS (3-0),458,403,1304052,27.7,26.6,41,14,R.Henderson (6.7),B.Martin (64-45)
1980,Oakland Athletics,AL West,162,83,79,0,.512,.530,2nd of 7,14.0,,686,642,842259,26.5,25.8,34,15,R.Henderson (8.8),B.Martin (83-79)
1979,Oakland Athletics,AL West,162,54,108,0,.333,.322,7th of 7,34.0,,573,860,306763,26.2,25.4,33,13,R.Langford (4.0),J.Marshall (54-108)
1978,Oakland Athletics,AL West,162,69,93,0,.426,.383,6th of 7,23.0,,532,690,526999,26.3,25.3,46,15,M.Keough (3.0),B.Winkles (24-15) and J.McKeon (45-78)
1977,Oakland Athletics,AL West,161,63,98,0,.391,.404,7th of 7,38.5,,605,749,495599,27.3,27.1,40,19,M.Page (6.1),J.McKeon (26-27) and B.Winkles (37-71)
1976,Oakland Athletics,AL West,161,87,74,0,.540,.562,2nd of 6,2.5,,686,598,780593,29.6,27.9,38,12,V.Blue (7.6),C.Tanner (87-74)
1975,Oakland Athletics,AL West,162,98,64,0,.605,.601,1st of 6,--,Lost ALCS (3-0),758,606,1075518,28.8,29.1,42,14,R.Jackson (6.7),A.Dark (98-64)
