Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2025,Atlanta Braves,NL East,162,76,86,0,.469,.494,4th of 5,20.0,,724,734,2903167,28.3,29.4,71,46,M.Olson (6.1),B.Snitker (76-86)
2024,Atlanta Braves,NL East,162,89,73,0,.549,.567,2nd of 5,6.0,Lost NLWC (2-0),704,607,3011755,29.3,31.5,55,30,C.Sale (6.2),B.Snitker (89-73)
2023,Atlanta Braves,NL East,162,104,58,0,.642,.625,1st of 5,--,Lost NLDS (3-1),947,716,3191505,27.9,29.9,53,33,R.Acuña (8.4),B.Snitker (104-58)
2022,Atlanta Braves,NL East,162,101,61,0,.623,.616,1st of 5,--,Lost NLDS (3-1),789,609,3129931,27.5,30.0,53,32,A.Riley (6.4),B.Snitker (101-61)
2021,Atlanta Braves,NL East,161,88,73,0,.547,.584,1st of 5,--,Won WS (4-2),790,656,2299647,28.2,29.5,56,30,A.Riley (6.3),B.Snitker (88-73)
2020,Atlanta Braves,NL East,60,35,25,0,.583,.586,1st of 5,--,Lost NLCS (4-3),348,288,,28.2,28.5,48,29,F.Freeman (3.3),B.Snitker (35-25)
2019,Atlanta Braves,NL East,162,97,65,0,.599,.564,1st of 5,--,Lost NLDS (3-2),855,743,2654920,28.0,27.5,50,32,M.Soroka (5.9),B.Snitker (97-65)
2018,Atlanta Braves,NL East,162,90,72,0,.556,.566,1st of 5,--,Lost NLDS (3-1),759,657,2555781,27.4,27.7,58,35,F.Freeman (5.5),B.Snitker (90-72)
2017,Atlanta Braves,NL East,162,72,90,0,.444,.448,3rd of 5,25.0,,732,821,2505252,28.6,29.4,49,26,F.Freeman (4.6),B.Snitker (72-90)
2016,Atlanta Braves,NL East,161,68,93,0,.422,.417,5th of 5,26.5,,649,779,2020914,28.9,26.4,60,35,F.Freeman (6.3),F.González (9-28) and B.Snitker (59-65)
2015,Atlanta Braves,NL East,162,67,95,0,.414,.374,4th of 5,23.0,,573,760,2001392,28.8,26.6,60,37,A.Simmons (4.2),F.González (67-95)
2014,Atlanta Braves,NL East,162,79,83,0,.488,.481,2nd of 5,17.0,,573,597,2354305,26.8,27.3,39,20,J.Heyward (5.5),F.González (79-83)
2013,Atlanta Braves,NL East,162,96,66,0,.593,.603,1st of 5,--,Lost NLDS (3-1),688,548,2548679,26.8,27.2,44,21,A.Simmons (5.8),F.González (96-66)
2012,Atlanta Braves,NL East,162,94,68,0,.580,.570,2nd of 5,4.0,Lost NLWC (1-0),700,600,2420171,28.5,27.6,41,21,M.Bourn (6.0),F.González (94-68)
2011,Atlanta Braves,NL East,162,89,73,0,.549,.526,2nd of 5,13.0,,641,605,2372940,28.9,28.4,45,21,E.O'Flaherty (3.3),F.González (89-73)
2010,Atlanta Braves,NL East,162,91,71,0,.562,.573,2nd of 5,6.0,Lost NLDS (3-1),738,629,2510119,28.6,30.1,43,21,J.Heyward (6.4),B.Cox (91-71)
2009,Atlanta Braves,NL East,162,86,76,0,.531,.562,3rd of 5,7.0,,735,641,2373631,28.8,28.9,45,21,J.Jurrjens (6.7),B.Cox (86-76)
2008,Atlanta Braves,NL East,162,72,90,0,.444,.485,4th of 5,20.0,,753,778,2532834,27.2,28.6,49,28,C.Jones (7.3),B.Cox (72-90)
2007,Atlanta Braves,NL East,162,84,78,0,.519,.546,3rd of 5,5.0,,810,733,2745207,27.7,29.4,50,28,C.Jones (7.6),B.Cox (84-78)
2006,Atlanta Braves,NL East,162,79,83,0,.488,.524,3rd of 5,18.0,,849,805,2550524,27.5,29.4,45,26,J.Smoltz (5.8),B.Cox (79-83)
2005,Atlanta Braves,NL East,162,90,72,0,.556,.560,1st of 5,--,Lost NLDS (3-1),769,674,2521167,28.1,28.6,45,26,A.Jones (6.7),B.Cox (90-72)
2004,Atlanta Braves,NL East,162,96,66,0,.593,.583,1st of 5,--,Lost NLDS (3-2),803,668,2327565,28.9,30.1,39,21,J.Drew (8.3),B.Cox (96-66)
2003,Atlanta Braves,NL East,162,101,61,0,.623,.592,1st of 5,--,Lost NLDS (3-2),907,740,2401084,30.3,31.1,34,17,M.Giles (7.9),B.Cox (101-61)
2002,Atlanta Braves,NL East,161,101,59,1,.631,.602,1st of 5,--,Lost NLDS (3-2),708,565,2603484,30.6,31.1,38,20,A.Jones (6.5),B.Cox (101-59)
2001,Atlanta Braves,NL East,162,88,74,0,.543,.557,1st of 5,--,Lost NLCS (4-1),729,643,2823530,30.3,31.1,47,23,C.Jones (5.9),B.Cox (88-74)
2000,Atlanta Braves,NL East,162,95,67,0,.586,.557,1st of 5,--,Lost NLDS (3-0),810,714,3234304,30.8,31.4,47,22,A.Jones (8.2),B.Cox (95-67)
1999,Atlanta Braves,NL East,162,103,59,0,.636,.608,1st of 5,--,Lost WS (4-0),840,661,3284897,29.6,28.6,44,22,A.Jones (7.1),B.Cox (103-59)
1998,Atlanta Braves,NL East,162,106,56,0,.654,.656,1st of 5,--,Lost NLCS (4-2),826,581,3360860,28.9,29.5,42,19,A.Jones (7.4),B.Cox (106-56)
1997,Atlanta Braves,NL East,162,101,61,0,.623,.638,1st of 5,--,Lost NLCS (4-2),791,581,3464488,27.9,28.5,38,17,G.Maddux (7.7),B.Cox (101-61)
1996,Atlanta Braves,NL East,162,96,66,0,.593,.580,1st of 5,--,Lost WS (4-2),773,648,2901242,27.9,27.9,42,18,J.Smoltz (7.7),B.Cox (96-66)
1995,Atlanta Braves,NL East,144,90,54,0,.625,.581,1st of 5,--,Won WS (4-2),645,540,2561831,27.9,27.4,40,20,G.Maddux (9.6),B.Cox (90-54)
1994,Atlanta Braves,NL East,114,68,46,0,.596,.586,2nd of 5,6.0,,542,448,2539240,28.2,27.4,31,13,G.Maddux (8.7),B.Cox (68-46)
1993,Atlanta Braves,NL West,162,104,58,0,.642,.641,1st of 7,--,Lost NLCS (4-2),767,559,3884720,28.8,26.8,33,13,R.Gant (6.5),B.Cox (104-58)
1992,Atlanta Braves,NL West,162,98,64,0,.605,.582,1st of 6,--,Lost WS (4-2),682,569,3077400,28.4,27.5,41,19,T.Pendleton (5.0),B.Cox (98-64)
1991,Atlanta Braves,NL West,162,94,68,0,.580,.569,1st of 6,--,Lost WS (4-3),749,644,2140217,28.0,27.1,43,20,T.Glavine (9.2),B.Cox (94-68)
1990,Atlanta Braves,NL West,162,65,97,0,.401,.416,6th of 6,26.0,,682,821,980129,27.4,25.8,46,23,R.Gant (5.6),R.Nixon (25-40) and B.Cox (40-57)
1989,Atlanta Braves,NL West,161,63,97,1,.394,.431,6th of 6,28.0,,584,680,984930,28.1,25.4,46,23,L.Smith (8.8),R.Nixon (63-97)
1988,Atlanta Braves,NL West,160,54,106,0,.338,.371,6th of 6,39.5,,555,741,848089,28.9,27.4,40,19,P.Smith (3.2),C.Tanner (12-27) and R.Nixon (42-79)
1987,Atlanta Braves,NL West,161,69,92,0,.429,.452,5th of 6,20.5,,747,829,1217402,29.6,29.2,41,20,D.Murphy (7.7),C.Tanner (69-92)
1986,Atlanta Braves,NL West,161,72,89,0,.447,.429,6th of 6,23.5,,615,719,1387181,29.7,28.9,36,16,D.Palmer (3.6),C.Tanner (72-89)
1985,Atlanta Braves,NL West,162,66,96,0,.407,.404,5th of 6,29.0,,632,781,1350137,28.1,28.8,33,14,D.Murphy (5.0),E.Haas (50-71) and B.Wine (16-25)
1984,Atlanta Braves,NL West,162,80,82,0,.494,.484,2nd of 6,12.0,,632,655,1724892,27.8,28.4,38,15,D.Murphy (5.5),J.Torre (80-82)
