Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2025,Baltimore Orioles,AL East,162,75,87,0,.463,.431,5th of 5,19.0,,677,788,1803655,26.5,30.6,70,41,T.Rogers (5.5),B.Hyde (15-28) and T.Mansolino (60-59)
2024,Baltimore Orioles,AL East,162,91,71,0,.562,.553,2nd of 5,3.0,Lost ALWC (2-0),786,699,2281129,26.9,29.6,60,34,G.Henderson (9.1),B.Hyde (91-71)
2023,Baltimore Orioles,AL East,162,101,61,0,.623,.579,1st of 5,--,Lost ALDS (3-0),807,678,1936798,27.2,28.4,50,31,G.Henderson (6.1),B.Hyde (101-61)
2022,Baltimore Orioles,AL East,162,83,79,0,.512,.491,4th of 5,16.0,,674,688,1368367,27.0,27.7,58,36,A.Rutschman (5.4),B.Hyde (83-79)
2021,Baltimore Orioles,AL East,162,52,110,0,.321,.336,5th of 5,48.0,,659,956,793229,26.7,28.1,62,42,C.Mullins (6.2),B.Hyde (52-110)
2020,Baltimore Orioles,AL East,60,25,35,0,.417,.468,4th of 5,15.0,,274,294,,26.3,28.3,45,27,A.Santander (1.6),B.Hyde (25-35)
2019,Baltimore Orioles,AL East,162,54,108,0,.333,.367,5th of 5,49.0,,729,981,1307807,26.5,27.3,58,39,J.Means (4.5),B.Hyde (54-108)
2018,Baltimore Orioles,AL East,162,47,115,0,.290,.341,5th of 5,61.0,,622,892,1564192,28.4,27.1,56,30,M.Machado (3.6),B.Showalter (47-115)
2017,Baltimore Orioles,AL East,162,75,87,0,.463,.444,5th of 5,18.0,,743,841,2028424,28.6,28.2,50,26,J.Schoop (6.1),B.Showalter (75-87)
2016,Baltimore Orioles,AL East,162,89,73,0,.549,.518,2nd of 5,4.0,Lost ALWC (1-0),744,715,2172344,28.5,27.9,47,27,M.Machado (7.4),B.Showalter (89-73)
2015,Baltimore Orioles,AL East,162,81,81,0,.500,.513,3rd of 5,12.0,,713,693,2281202,27.9,28.3,48,22,M.Machado (7.3),B.Showalter (81-81)
2014,Baltimore Orioles,AL East,162,96,66,0,.593,.578,1st of 5,--,Lost ALCS (4-0),705,593,2464473,28.3,27.7,44,20,S.Pearce (5.8),B.Showalter (96-66)
2013,Baltimore Orioles,AL East,162,85,77,0,.525,.523,3rd of 5,12.0,,745,709,2357561,27.8,27.9,52,26,C.Davis (7.1),B.Showalter (85-77)
2012,Baltimore Orioles,AL East,162,93,69,0,.574,.505,2nd of 5,2.0,Lost ALDS (3-2),712,705,2102240,28.0,27.6,52,26,M.Wieters (4.1),B.Showalter (93-69)
2011,Baltimore Orioles,AL East,162,69,93,0,.426,.412,5th of 5,28.0,,708,860,1755461,28.3,28.2,50,27,M.Wieters (5.2),B.Showalter (69-93)
2010,Baltimore Orioles,AL East,162,66,96,0,.407,.389,5th of 5,30.0,,613,785,1733019,28.6,28.4,45,23,J.Guthrie (4.5),D.Trembley (15-39) J.Samuel (17-34) and B.Showalter (34-23)
