Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2025,Cincinnati Reds,NL Central,162,83,79,0,.512,.523,3rd of 5,14.0,Trails NLWC (1-0),716,681,2170963,27.2,29.1,53,28,A.Abbott (5.6),T.Francona (83-79)
2024,Cincinnati Reds,NL Central,162,77,85,0,.475,.503,4th of 5,16.0,,699,694,2024178,27.1,29.1,61,32,H.Greene (6.2),D.Bell (76-81) and F.Benavides (1-4)
2023,Cincinnati Reds,NL Central,162,82,80,0,.506,.478,3rd of 5,10.0,,783,821,2038302,26.8,27.7,65,40,T.Friedl (3.6),D.Bell (82-80)
2022,Cincinnati Reds,NL Central,162,62,100,0,.383,.397,4th of 5,31.0,,648,815,1395770,29.4,27.9,66,38,L.Castillo (2.9),D.Bell (62-100)
2021,Cincinnati Reds,NL Central,162,83,79,0,.512,.515,3rd of 5,12.0,,786,760,1505024,28.9,28.9,55,36,W.Miley (5.6),D.Bell (83-79)
2020,Cincinnati Reds,NL Central,60,31,29,0,.517,.500,3rd of 5,3.0,Lost NLWC (2-0),243,243,,29.2,28.6,43,23,T.Bauer (3.0),D.Bell (31-29)
2019,Cincinnati Reds,NL Central,162,75,87,0,.463,.494,4th of 5,16.0,,701,711,1809075,27.9,28.2,47,26,S.Gray (6.1),D.Bell (75-87)
2018,Cincinnati Reds,NL Central,162,67,95,0,.414,.426,5th of 5,28.5,,696,819,1629356,27.2,27.1,53,32,E.Suárez (3.8),B.Price (3-15) and J.Riggleman (64-80)
2017,Cincinnati Reds,NL Central,162,68,94,0,.420,.435,5th of 5,24.0,,753,869,1836917,27.2,27.6,47,31,J.Votto (7.9),B.Price (68-94)
2016,Cincinnati Reds,NL Central,162,68,94,0,.420,.420,5th of 5,35.5,,716,854,1894085,27.8,27.1,52,32,J.Votto (4.3),B.Price (68-94)
2015,Cincinnati Reds,NL Central,162,64,98,0,.395,.426,5th of 5,36.0,,640,754,2419506,29.5,27.3,50,28,J.Votto (7.7),B.Price (64-98)
2014,Cincinnati Reds,NL Central,162,76,86,0,.469,.487,4th of 5,14.0,,595,612,2476664,29.0,28.0,45,25,J.Cueto (6.6),B.Price (76-86)
2013,Cincinnati Reds,NL Central,162,90,72,0,.556,.577,3rd of 5,7.0,Lost NLWC (1-0),698,589,2492101,28.5,27.7,39,20,J.Votto (6.6),D.Baker (90-72)
2012,Cincinnati Reds,NL Central,162,97,65,0,.599,.559,1st of 6,--,Lost NLDS (3-2),669,588,2347251,28.8,27.1,38,17,J.Votto (5.9),D.Baker (97-65)
2011,Cincinnati Reds,NL Central,162,79,83,0,.488,.509,3rd of 6,17.0,,735,720,2213588,28.6,27.7,42,21,J.Votto (6.6),D.Baker (79-83)
2010,Cincinnati Reds,NL Central,162,91,71,0,.562,.565,1st of 6,--,Lost NLDS (3-0),790,685,2060550,29.0,28.2,44,23,J.Votto (7.0),D.Baker (91-71)
2009,Cincinnati Reds,NL Central,162,78,84,0,.481,.467,4th of 6,13.0,,673,723,1747919,27.8,29.0,46,22,J.Votto (4.8),D.Baker (78-84)
2008,Cincinnati Reds,NL Central,162,74,88,0,.457,.442,5th of 6,23.5,,704,800,2058632,28.6,28.7,48,24,E.Vólquez (4.5),D.Baker (74-88)
2007,Cincinnati Reds,NL Central,162,72,90,0,.444,.461,5th of 6,13.0,,783,853,2058593,29.7,29.1,51,25,A.Harang (5.5),J.Narron (31-51) and P.Mackanin (41-39)
2006,Cincinnati Reds,NL Central,162,80,82,0,.494,.469,3rd of 6,3.5,,749,801,2134607,29.6,29.5,54,29,B.Arroyo (7.0),J.Narron (80-82)
2005,Cincinnati Reds,NL Central,163,73,89,1,.451,.463,5th of 6,27.0,,820,889,1943067,28.6,28.9,46,22,F.López (4.3),D.Miley (27-43) and J.Narron (46-46)
2004,Cincinnati Reds,NL Central,162,76,86,0,.469,.414,4th of 6,29.0,,750,907,2287250,28.4,28.5,44,22,A.Dunn (4.7),D.Miley (76-86)
2003,Cincinnati Reds,NL Central,162,69,93,0,.426,.390,5th of 6,19.0,,694,886,2355259,27.3,28.0,57,30,J.Guillén (4.7),B.Boone (46-58) R.Knight (1-0) and D.Miley (22-35)
2002,Cincinnati Reds,NL Central,162,78,84,0,.481,.460,3rd of 6,19.0,,709,774,1855787,27.7,28.7,43,21,E.Dessens (4.2),B.Boone (78-84)
2001,Cincinnati Reds,NL Central,162,66,96,0,.407,.434,5th of 6,27.0,,735,850,1879757,28.0,27.4,50,25,E.Dessens (4.5),B.Boone (66-96)
2000,Cincinnati Reds,NL Central,163,85,77,1,.525,.534,2nd of 6,10.0,,825,765,2577371,29.2,28.5,45,21,K.Griffey (5.5),J.McKeon (85-77)
1999,Cincinnati Reds,NL Central,163,96,67,0,.589,.589,2nd of 6,1.5,,865,711,2061222,28.3,28.0,35,17,M.Cameron (5.5),J.McKeon (96-67)
1998,Cincinnati Reds,NL Central,162,77,85,0,.475,.494,4th of 6,25.0,,750,760,1793649,27.5,28.0,47,24,B.Larkin (5.7),J.McKeon (77-85)
1997,Cincinnati Reds,NL Central,162,76,86,0,.469,.427,3rd of 5,8.0,,651,764,1785788,28.2,29.6,50,25,J.Shaw (3.6),R.Knight (43-56) and J.McKeon (33-30)
1996,Cincinnati Reds,NL Central,162,81,81,0,.500,.503,3rd of 5,7.0,,778,773,1861428,29.3,29.2,48,24,B.Larkin (7.2),R.Knight (81-81)
1995,Cincinnati Reds,NL Central,144,85,59,0,.590,.582,1st of 5,--,Lost NLCS (4-0),747,623,1837649,28.4,28.3,47,24,R.Sanders (6.6),D.Johnson (85-59)
1994,Cincinnati Reds,NL Central,115,66,48,1,.579,.598,1st of 5,--,,609,490,1897681,28.5,27.2,35,16,B.Larkin (4.0),D.Johnson (66-48)
1993,Cincinnati Reds,NL West,162,73,89,0,.451,.462,5th of 7,31.0,,722,785,2453232,28.4,27.9,51,24,J.Rijo (10.1),T.Pérez (20-24) and D.Johnson (53-65)
1992,Cincinnati Reds,NL West,162,90,72,0,.556,.537,2nd of 6,8.0,,660,609,2315946,27.9,28.1,42,17,J.Rijo (6.0),L.Piniella (90-72)
1991,Cincinnati Reds,NL West,162,74,88,0,.457,.499,5th of 6,20.0,,689,691,2372377,28.2,27.6,40,17,B.Larkin (6.1),L.Piniella (74-88)
1990,Cincinnati Reds,NL West,162,91,71,0,.562,.568,1st of 6,--,Won WS (4-0),693,597,2400892,27.5,27.4,40,17,J.Rijo (5.8),L.Piniella (91-71)
1989,Cincinnati Reds,NL West,162,75,87,0,.463,.459,5th of 6,17.0,,632,691,1979320,28.0,28.1,42,17,R.Dibble (3.8),P.Rose (59-66) and T.Helms (16-21)
1988,Cincinnati Reds,NL West,161,87,74,0,.540,.533,2nd of 6,7.0,,641,596,2072528,27.5,26.7,45,20,B.Larkin (7.0),P.Rose (75-59) and T.Helms (12-15)
1987,Cincinnati Reds,NL West,162,84,78,0,.519,.518,2nd of 6,6.0,,783,752,2185205,28.9,28.3,37,18,E.Davis (7.9),P.Rose (84-78)
1986,Cincinnati Reds,NL West,162,86,76,0,.531,.509,2nd of 6,10.0,,732,717,1692432,30.8,27.9,34,15,E.Davis (5.3),P.Rose (86-76)
1985,Cincinnati Reds,NL West,162,89,72,1,.553,.507,2nd of 6,5.5,,677,666,1834619,31.5,26.4,37,15,D.Parker (4.7),P.Rose (89-72)
1984,Cincinnati Reds,NL West,162,70,92,0,.432,.421,5th of 6,22.0,,627,747,1275887,29.3,26.2,43,20,M.Soto (4.9),V.Rapp (51-70) and P.Rose (19-22)
1983,Cincinnati Reds,NL West,162,74,88,0,.457,.440,6th of 6,17.0,,623,710,1190419,27.9,26.5,35,14,M.Soto (6.7),R.Nixon (74-88)
1982,Cincinnati Reds,NL West,162,61,101,0,.377,.413,6th of 6,28.0,,545,661,1326528,28.4,27.2,33,14,M.Soto (7.6),J.McNamara (34-58) and R.Nixon (27-43)
1981,Cincinnati Reds,NL West,108,66,42,0,.611,.524,1st of 6,--,,464,440,1093730,29.3,26.8,33,13,T.Seaver (4.4),J.McNamara (66-42)
1980,Cincinnati Reds,NL West,163,89,73,1,.549,.525,3rd of 6,3.5,,707,670,2022450,28.6,26.0,34,15,G.Foster (4.1),J.McNamara (89-73)
1979,Cincinnati Reds,NL West,161,90,71,0,.559,.558,1st of 6,--,Lost NLCS (3-0),731,644,2356933,29.4,28.5,35,14,J.Bench (5.6),J.McNamara (90-71)
1978,Cincinnati Reds,NL West,161,92,69,0,.571,.514,2nd of 6,2.5,,710,688,2532497,29.9,28.3,35,14,G.Foster (4.9),S.Anderson (92-69)
1977,Cincinnati Reds,NL West,162,88,74,0,.543,.546,2nd of 6,10.0,,802,725,2519670,29.5,29.1,37,20,G.Foster (8.4),S.Anderson (88-74)
1976,Cincinnati Reds,NL West,162,102,60,0,.630,.635,1st of 6,--,Won WS (4-0),857,633,2629708,29.1,27.2,29,13,J.Morgan (9.6),S.Anderson (102-60)
1975,Cincinnati Reds,NL West,162,108,54,0,.667,.659,1st of 6,--,Won WS (4-3),840,586,2315603,28.4,27.6,29,12,J.Morgan (11.0),S.Anderson (108-54)
1974,Cincinnati Reds,NL West,163,98,64,1,.605,.594,2nd of 6,4.0,,776,631,2164307,27.7,27.3,35,15,J.Morgan (8.6),S.Anderson (98-64)
1973,Cincinnati Reds,NL West,162,99,63,0,.611,.580,1st of 6,--,Lost NLCS (3-2),741,621,2017601,27.7,26.7,36,13,J.Morgan (9.3),S.Anderson (99-63)
1972,Cincinnati Reds,NL West,154,95,59,0,.617,.607,1st of 6,--,Lost WS (4-3),707,557,1611459,27.2,25.5,31,13,J.Morgan (9.3),S.Anderson (95-59)
1971,Cincinnati Reds,NL West,162,79,83,0,.488,.504,4th of 6,11.0,,586,581,1501122,26.8,25.1,35,15,L.May (5.5),S.Anderson (79-83)
1970,Cincinnati Reds,NL West,162,102,60,0,.630,.559,1st of 6,--,Lost WS (4-1),775,681,1803568,25.9,25.2,33,15,J.Bench (7.4),S.Anderson (102-60)
1969,Cincinnati Reds,NL West,163,89,73,1,.549,.518,3rd of 6,4.0,,798,768,987991,26.3,27.3,36,17,P.Rose (6.6),D.Bristol (89-73)
1968,Cincinnati Reds,NL,163,83,79,1,.512,.511,4th of 10,14.0,,690,673,733354,26.5,27.1,34,16,T.Pérez (5.9),D.Bristol (83-79)
1967,Cincinnati Reds,NL,162,87,75,0,.537,.532,4th of 10,14.5,,604,563,958300,26.6,26.3,33,14,T.Abernathy (6.0),D.Bristol (87-75)
1966,Cincinnati Reds,NL,160,76,84,0,.475,.493,7th of 10,18.0,,692,702,742958,26.3,27.5,31,16,J.Maloney (7.4),D.Heffner (37-46) and D.Bristol (39-38)
1965,Cincinnati Reds,NL,162,89,73,0,.549,.572,4th of 10,8.0,,825,704,1047824,26.2,27.2,34,15,J.Maloney (9.0),D.Sisler (89-73)
1964,Cincinnati Reds,NL,163,92,70,1,.568,.570,2nd of 10,1.0,,660,566,862466,26.1,28.5,33,13,F.Robinson (7.9),F.Hutchinson (60-49) and D.Sisler (32-21)
1963,Cincinnati Reds,NL,162,86,76,0,.531,.540,5th of 10,13.0,,648,594,858805,26.4,29.2,35,12,V.Pinson (6.4),F.Hutchinson (86-76)
1962,Cincinnati Reds,NL,162,98,64,0,.605,.572,3rd of 10,3.5,,802,685,982095,27.2,28.4,37,16,F.Robinson (8.7),F.Hutchinson (98-64)
1961,Cincinnati Reds,NL,154,93,61,0,.604,.538,1st of 8,--,Lost WS (4-1),710,653,1117603,26.9,26.5,37,13,F.Robinson (7.7),F.Hutchinson (93-61)
1960,Cincinnati Reds,NL,154,67,87,0,.435,.464,6th of 8,28.0,,640,692,663486,27.3,28.1,41,17,F.Robinson (6.2),F.Hutchinson (67-87)
1959,Cincinnati Reds,NL,154,74,80,0,.481,.516,5th of 8,13.0,,764,738,801298,28.0,28.8,39,17,D.Newcombe (6.6),M.Smith (35-45) and F.Hutchinson (39-35)
1958,Cincinnati Redlegs,NL,154,76,78,0,.494,.551,4th of 8,16.0,,695,621,788582,29.6,30.4,43,20,B.Purkey (4.4),B.Tebbetts (52-61) and J.Dykes (24-17)
