Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2025,Cleveland Guardians,AL Central,162,88,74,0,.543,.496,1st of 5,--,Trails ALWC (1-0),643,649,2051360,27.4,27.1,45,26,J.Ramírez (5.8),S.Vogt (88-74)
2024,Cleveland Guardians,AL Central,161,92,69,0,.571,.560,1st of 5,--,Lost ALCS (4-1),708,621,2056264,26.1,27.7,50,30,J.Ramírez (6.8),S.Vogt (92-69)
2023,Cleveland Guardians,AL Central,162,76,86,0,.469,.476,3rd of 5,11.0,,662,697,1834068,26.7,26.1,50,29,A.Giménez (5.0),T.Francona (76-86)
2022,Cleveland Guardians,AL Central,162,92,70,0,.568,.544,1st of 5,--,Lost ALDS (3-2),698,634,1295870,25.9,26.3,50,28,A.Giménez (7.4),T.Francona (92-70)
2021,Cleveland Indians,AL Central,162,80,82,0,.494,.494,2nd of 5,13.0,,717,727,1114368,26.7,26.3,48,25,J.Ramírez (6.7),T.Francona (80-82)
2020,Cleveland Indians,AL Central,60,35,25,0,.583,.578,2nd of 5,1.0,Lost ALWC (2-0),248,209,,28.0,27.6,39,18,S.Bieber (3.2),T.Francona (35-25)
2019,Cleveland Indians,AL Central,162,93,69,0,.574,.572,2nd of 5,8.0,,769,657,1738642,27.8,28.3,54,30,F.Lindor (4.8),T.Francona (93-69)
2018,Cleveland Indians,AL Central,162,91,71,0,.562,.605,1st of 5,--,Lost ALDS (3-0),818,648,1926701,29.4,29.4,49,27,J.Ramírez (7.6),T.Francona (91-71)
2017,Cleveland Indians,AL Central,162,102,60,0,.630,.664,1st of 5,--,Lost ALDS (3-2),818,564,2048138,28.1,28.9,41,20,C.Kluber (7.9),T.Francona (102-60)
2016,Cleveland Indians,AL Central,161,94,67,0,.584,.563,1st of 5,--,Lost WS (4-3),777,676,1591667,29.0,28.1,48,27,C.Kluber (5.7),T.Francona (94-67)
2015,Cleveland Indians,AL Central,161,81,80,0,.503,.520,3rd of 5,13.5,,669,640,1388905,28.0,27.3,49,27,C.Kluber (4.3),T.Francona (81-80)
2014,Cleveland Indians,AL Central,162,85,77,0,.525,.511,3rd of 5,5.0,,669,653,1437393,28.6,27.2,46,23,C.Kluber (8.1),T.Francona (85-77)
2013,Cleveland Indians,AL Central,162,92,70,0,.568,.554,2nd of 5,1.0,Lost ALWC (1-0),745,662,1572926,28.7,27.5,49,28,J.Kipnis (5.0),T.Francona (92-70)
2012,Cleveland Indians,AL Central,162,68,94,0,.420,.393,4th of 5,20.0,,667,845,1603596,27.8,27.6,48,24,J.Kipnis (3.9),M.Acta (65-91) and S.Alomar (3-3)
2011,Cleveland Indians,AL Central,162,80,82,0,.494,.465,2nd of 5,15.0,,704,760,1840835,27.8,26.7,46,22,A.Cabrera (4.7),M.Acta (80-82)
2010,Cleveland Indians,AL Central,162,69,93,0,.426,.431,4th of 5,25.0,,646,752,1391644,27.2,26.6,45,22,S.Choo (5.9),M.Acta (69-93)
2009,Cleveland Indians,AL Central,162,65,97,0,.401,.449,4th of 5,21.5,,773,865,1766242,27.4,27.8,52,29,S.Choo (5.5),E.Wedge (65-97)
2008,Cleveland Indians,AL Central,162,81,81,0,.500,.526,3rd of 5,7.5,,805,761,2169760,27.6,28.6,49,28,C.Lee (6.7),E.Wedge (81-81)
