Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2025,Colorado Rockies,NL West,162,43,119,0,.265,.272,5th of 5,50.0,,597,1021,2404613,26.7,27.7,57,31,H.Goodman (3.7),B.Black (7-33) and W.Schaeffer (36-86)
2024,Colorado Rockies,NL West,162,61,101,0,.377,.362,5th of 5,37.0,,682,929,2540195,27.9,28.2,54,33,B.Doyle (4.0),B.Black (61-101)
2023,Colorado Rockies,NL West,162,59,103,0,.364,.373,5th of 5,41.0,,721,957,2607935,28.2,29.7,57,34,N.Jones (4.3),B.Black (59-103)
2022,Colorado Rockies,NL West,162,68,94,0,.420,.399,5th of 5,43.0,,698,873,2597428,29.0,29.1,43,25,B.Rodgers (4.3),B.Black (68-94)
2021,Colorado Rockies,NL West,161,74,87,0,.460,.466,4th of 5,32.5,,739,796,1938645,28.1,28.3,45,26,T.Story (4.3),B.Black (74-87)
2020,Colorado Rockies,NL West,60,26,34,0,.433,.388,4th of 5,17.0,,275,353,,28.7,27.3,40,24,A.Senzatela (2.5),B.Black (26-34)
2019,Colorado Rockies,NL West,162,71,91,0,.438,.437,4th of 5,35.0,,835,958,2993244,28.2,27.3,50,31,N.Arenado (7.1),B.Black (71-91)
2018,Colorado Rockies,NL West,163,91,72,0,.558,.521,2nd of 5,1.0,Lost NLDS (3-0),780,745,3015880,28.7,27.9,41,21,K.Freeland (7.6),B.Black (91-72)
2017,Colorado Rockies,NL West,162,87,75,0,.537,.539,3rd of 5,17.0,Lost NLWC (1-0),824,757,2953650,28.3,27.0,41,21,N.Arenado (6.6),B.Black (87-75)
2016,Colorado Rockies,NL West,162,75,87,0,.463,.492,3rd of 5,16.0,,845,860,2602524,27.8,27.7,47,25,N.Arenado (5.7),W.Weiss (75-87)
2015,Colorado Rockies,NL West,162,68,94,0,.420,.438,5th of 5,24.0,,737,844,2506789,28.0,28.7,51,30,N.Arenado (6.3),W.Weiss (68-94)
2014,Colorado Rockies,NL West,162,66,96,0,.407,.463,4th of 5,28.0,,755,818,2680329,27.4,28.5,49,26,T.Tulowitzki (5.8),W.Weiss (66-96)
