Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2025,Detroit Tigers,AL Central,162,87,75,0,.537,.542,2nd of 5,1.0,Leads WC (1-0),758,691,2413442,26.7,28.8,58,39,T.Skubal (6.6),A.Hinch (87-75)
2024,Detroit Tigers,AL Central,162,86,76,0,.531,.528,3rd of 5,6.5,Lost ALDS (3-2),682,642,1858295,26.7,27.9,48,26,T.Skubal (6.4),A.Hinch (86-76)
2023,Detroit Tigers,AL Central,162,78,84,0,.481,.449,2nd of 5,9.0,,661,740,1612876,27.4,27.7,51,32,E.Rodríguez (3.2),A.Hinch (78-84)
2022,Detroit Tigers,AL Central,162,66,96,0,.407,.389,4th of 5,26.0,,557,713,1575544,27.9,27.5,53,33,J.Báez (2.4),A.Hinch (66-96)
2021,Detroit Tigers,AL Central,162,77,85,0,.475,.463,3rd of 5,16.0,,697,756,1102621,28.1,27.3,49,29,J.Candelario (3.6),A.Hinch (77-85)
2020,Detroit Tigers,AL Central,58,23,35,0,.397,.390,5th of 5,12.0,,249,318,,27.6,26.6,45,23,J.Candelario (2.1),R.Gardenhire (21-29) and L.McClendon (2-6)
2019,Detroit Tigers,AL Central,161,47,114,0,.292,.304,5th of 5,53.5,,582,915,1501430,27.6,27.8,53,32,M.Boyd (3.8),R.Gardenhire (47-114)
2018,Detroit Tigers,AL Central,162,64,98,0,.395,.395,3rd of 5,27.0,,630,796,1856970,27.9,28.6,49,27,M.Fiers (3.4),R.Gardenhire (64-98)
2017,Detroit Tigers,AL Central,162,64,98,0,.395,.411,5th of 5,38.0,,735,894,2321599,29.6,28.3,49,29,J.Upton (5.2),B.Ausmus (64-98)
2016,Detroit Tigers,AL Central,161,86,75,0,.534,.518,2nd of 5,8.0,,750,721,2493859,30.0,29.0,44,23,J.Verlander (7.4),B.Ausmus (86-75)
2015,Detroit Tigers,AL Central,161,74,87,0,.460,.430,5th of 5,20.5,,689,803,2726048,28.3,28.7,47,27,J.Martinez (5.5),B.Ausmus (74-87)
2014,Detroit Tigers,AL Central,162,90,72,0,.556,.533,1st of 5,--,Lost ALDS (3-0),757,705,2917209,29.8,28.5,48,30,M.Scherzer (5.7),B.Ausmus (90-72)
2013,Detroit Tigers,AL Central,162,93,69,0,.574,.610,1st of 5,--,Lost ALCS (4-2),796,624,3083397,30.0,28.4,39,20,M.Cabrera (7.5),J.Leyland (93-69)
