Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2025,Kansas City Royals,AL Central,162,82,80,0,.506,.510,3rd of 5,6.0,,651,637,1748801,28.3,29.8,49,27,B.Witt (7.1),M.Quatraro (82-80)
2024,Kansas City Royals,AL Central,162,86,76,0,.531,.560,2nd of 5,6.5,Lost ALDS (3-1),735,644,1658347,28.0,29.1,50,31,B.Witt (9.4),M.Quatraro (86-76)
2023,Kansas City Royals,AL Central,162,56,106,0,.346,.392,5th of 5,31.0,,676,859,1307052,26.3,29.1,58,36,B.Witt (4.3),M.Quatraro (56-106)
2022,Kansas City Royals,AL Central,162,65,97,0,.401,.394,5th of 5,27.0,,640,810,1277686,27.1,27.3,55,33,B.Singer (4.5),M.Matheny (65-97)
2021,Kansas City Royals,AL Central,162,74,88,0,.457,.437,4th of 5,19.0,,686,788,1159613,29.3,27.9,48,30,S.Perez (5.3),M.Matheny (74-88)
2020,Kansas City Royals,AL Central,60,26,34,0,.433,.458,4th of 5,10.0,,248,272,,27.8,27.1,48,27,S.Perez (2.1),M.Matheny (26-34)
2019,Kansas City Royals,AL Central,162,59,103,0,.364,.397,4th of 5,42.0,,691,869,1479659,27.6,27.9,51,30,J.Soler (3.5),N.Yost (59-103)
2018,Kansas City Royals,AL Central,162,58,104,0,.358,.380,5th of 5,33.0,,638,833,1665107,28.6,27.6,49,27,W.Merrifield (4.5),N.Yost (58-104)
2017,Kansas City Royals,AL Central,162,80,82,0,.494,.446,3rd of 5,22.0,,702,791,2220370,28.9,30.3,49,29,L.Cain (5.5),N.Yost (80-82)
2016,Kansas City Royals,AL Central,162,81,81,0,.500,.476,3rd of 5,13.5,,675,712,2557712,28.5,29.9,42,21,I.Kennedy (4.2),N.Yost (81-81)
2015,Kansas City Royals,AL Central,162,95,67,0,.586,.555,1st of 5,--,Won WS (4-1),724,641,2708549,29.1,30.0,45,24,L.Cain (6.9),N.Yost (95-67)
2014,Kansas City Royals,AL Central,162,89,73,0,.549,.519,2nd of 5,1.0,Lost WS (4-3),651,624,1956482,28.2,28.9,48,23,A.Gordon (6.1),N.Yost (89-73)
2013,Kansas City Royals,AL Central,162,86,76,0,.531,.534,3rd of 5,7.0,,648,601,1750754,26.9,28.9,43,21,J.Shields (4.7),N.Yost (86-76)
