Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2025,Miami Marlins,NL East,162,79,83,0,.488,.446,3rd of 5,17.0,,709,798,1156777,25.7,27.3,56,31,K.Stowers (3.6),C.McCullough (79-83)
2024,Miami Marlins,NL East,162,62,100,0,.383,.376,5th of 5,33.0,,637,841,1087455,27.2,27.0,70,45,T.Scott (3.3),S.Schumaker (62-100)
2023,Miami Marlins,NL East,162,84,78,0,.519,.463,3rd of 5,20.0,Lost NLWC (2-0),666,723,1162819,29.4,27.6,52,32,J.Luzardo (4.7),S.Schumaker (84-78)
2022,Miami Marlins,NL East,162,69,93,0,.426,.435,4th of 5,32.0,,586,676,907487,28.9,27.6,56,32,S.Alcantara (8.0),D.Mattingly (69-93)
2021,Miami Marlins,NL East,162,67,95,0,.414,.446,4th of 5,21.5,,623,701,642617,28.2,27.3,61,34,S.Alcantara (3.9),D.Mattingly (67-95)
2020,Miami Marlins,NL East,60,31,29,0,.517,.434,2nd of 5,4.0,Lost NLDS (3-0),263,304,,29.0,27.5,61,37,B.Anderson (1.8),D.Mattingly (31-29)
2019,Miami Marlins,NL East,162,57,105,0,.352,.378,5th of 5,40.0,,615,808,811302,28.4,26.5,50,26,B.Anderson (3.2),D.Mattingly (57-105)
2018,Miami Marlins,NL East,161,63,98,0,.391,.359,5th of 5,26.5,,589,809,811104,27.5,27.6,51,29,J.Realmuto (4.4),D.Mattingly (63-98)
2017,Miami Marlins,NL East,162,77,85,0,.475,.475,2nd of 5,20.0,,778,822,1583014,28.3,28.7,43,24,G.Stanton (8.1),D.Mattingly (77-85)
2016,Miami Marlins,NL East,161,79,82,0,.491,.482,3rd of 5,15.5,,655,682,1712417,28.3,28.0,53,31,C.Yelich (4.9),D.Mattingly (79-82)
2015,Miami Marlins,NL East,162,71,91,0,.438,.454,3rd of 5,19.0,,613,678,1752235,27.9,27.3,51,29,D.Strange-Gordon (4.4),M.Redmond (16-22) and D.Jennings (55-69)
2014,Miami Marlins,NL East,162,77,85,0,.475,.480,4th of 5,19.0,,645,674,1732283,27.4,26.4,45,25,G.Stanton (6.5),M.Redmond (77-85)
2013,Miami Marlins,NL East,162,62,100,0,.383,.396,5th of 5,34.0,,513,646,1586322,27.7,26.0,53,26,J.Fernández (6.6),M.Redmond (62-100)
