Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2025,Minnesota Twins,AL Central,162,70,92,0,.432,.440,4th of 5,18.0,,678,773,1768728,28.1,28.5,57,37,B.Buxton (4.9),R.Baldelli (70-92)
2024,Minnesota Twins,AL Central,162,82,80,0,.506,.504,4th of 5,10.5,,742,735,1951616,28.7,27.9,52,34,C.Correa (3.7),R.Baldelli (82-80)
2023,Minnesota Twins,AL Central,162,87,75,0,.537,.575,1st of 5,--,Lost ALDS (3-1),778,659,1974124,28.5,29.0,48,29,S.Gray (5.6),R.Baldelli (87-75)
2022,Minnesota Twins,AL Central,162,78,84,0,.481,.508,3rd of 5,14.0,,696,684,1801128,26.9,28.9,61,39,C.Correa (5.3),R.Baldelli (78-84)
2021,Minnesota Twins,AL Central,162,73,89,0,.451,.439,5th of 5,20.0,,729,834,1310199,28.3,29.8,57,35,J.Polanco (5.0),R.Baldelli (73-89)
2020,Minnesota Twins,AL Central,60,36,24,0,.600,.601,1st of 5,--,Lost ALWC (2-0),269,215,,28.8,30.0,43,24,B.Buxton (2.1),R.Baldelli (36-24)
2019,Minnesota Twins,AL Central,162,101,61,0,.623,.599,1st of 5,--,Lost ALDS (3-0),939,754,2303299,27.8,28.2,50,31,J.Polanco (4.6),R.Baldelli (101-61)
2018,Minnesota Twins,AL Central,162,78,84,0,.481,.478,2nd of 5,13.0,,738,775,1959197,28.2,28.5,54,36,E.Rosario (4.3),P.Molitor (78-84)
2017,Minnesota Twins,AL Central,162,85,77,0,.525,.515,2nd of 5,17.0,Lost ALWC (1-0),815,788,2051279,27.1,29.6,52,36,E.Santana (5.1),P.Molitor (85-77)
2016,Minnesota Twins,AL Central,162,59,103,0,.364,.406,5th of 5,35.5,,722,889,1963912,26.9,28.3,49,29,B.Dozier (5.8),P.Molitor (59-103)
2015,Minnesota Twins,AL Central,162,83,79,0,.512,.497,2nd of 5,12.0,,696,700,2220054,28.3,29.1,44,24,K.Gibson (3.2),P.Molitor (83-79)
2014,Minnesota Twins,AL Central,162,70,92,0,.432,.462,5th of 5,20.0,,715,777,2250606,27.5,29.2,48,23,B.Dozier (5.5),R.Gardenhire (70-92)
2013,Minnesota Twins,AL Central,162,66,96,0,.407,.388,4th of 5,27.0,,614,788,2477644,28.3,28.3,44,23,J.Mauer (5.5),R.Gardenhire (66-96)
2012,Minnesota Twins,AL Central,162,66,96,0,.407,.422,5th of 5,22.0,,701,832,2776354,28.9,27.8,47,25,D.Span (4.9),R.Gardenhire (66-96)
2011,Minnesota Twins,AL Central,162,63,99,0,.389,.383,5th of 5,32.0,,619,804,3168116,27.5,28.5,45,24,S.Baker (4.3),R.Gardenhire (63-99)
2010,Minnesota Twins,AL Central,162,94,68,0,.580,.569,1st of 5,--,Lost ALDS (3-0),781,671,3223640,28.4,28.6,42,21,J.Mauer (5.9),R.Gardenhire (94-68)
2009,Minnesota Twins,AL Central,163,87,76,0,.534,.530,1st of 5,--,Lost ALDS (3-0),817,765,2416237,27.6,27.9,42,24,J.Mauer (7.8),R.Gardenhire (87-76)
2008,Minnesota Twins,AL Central,163,88,75,0,.540,.549,2nd of 5,1.0,,829,745,2302431,26.2,27.5,40,19,J.Mauer (5.6),R.Gardenhire (88-75)
2007,Minnesota Twins,AL Central,162,79,83,0,.488,.496,3rd of 5,17.0,,718,725,2296383,28.4,27.4,42,19,J.Santana (5.2),R.Gardenhire (79-83)
2006,Minnesota Twins,AL Central,162,96,66,0,.593,.572,1st of 5,--,Lost ALDS (3-0),801,683,2285018,28.3,26.9,39,17,J.Santana (7.6),R.Gardenhire (96-66)
2005,Minnesota Twins,AL Central,162,83,79,0,.512,.518,3rd of 5,16.0,,688,662,2034243,27.6,27.9,37,15,J.Santana (7.2),R.Gardenhire (83-79)
2004,Minnesota Twins,AL Central,162,92,70,0,.568,.540,1st of 5,--,Lost ALDS (3-1),780,715,1911490,27.8,28.2,42,18,J.Santana (8.8),R.Gardenhire (92-70)
2003,Minnesota Twins,AL Central,162,90,72,0,.556,.525,1st of 5,--,Lost ALDS (3-1),801,758,1946011,27.2,29.7,42,20,A.Pierzynski (4.5),R.Gardenhire (90-72)
2002,Minnesota Twins,AL Central,161,94,67,0,.584,.535,1st of 5,--,Lost ALCS (4-1),768,712,1924473,26.6,28.8,42,19,J.Jones (5.5),R.Gardenhire (94-67)
2001,Minnesota Twins,AL Central,162,85,77,0,.525,.503,2nd of 5,6.0,,771,766,1782929,26.2,27.4,42,21,J.Mays (6.6),T.Kelly (85-77)
2000,Minnesota Twins,AL Central,162,69,93,0,.426,.426,5th of 5,26.0,,748,880,1000760,26.5,26.6,41,17,B.Radke (6.2),T.Kelly (69-93)
1999,Minnesota Twins,AL Central,161,63,97,1,.394,.406,5th of 5,33.0,,686,845,1202829,26.8,26.3,37,18,B.Radke (6.5),T.Kelly (63-97)
1998,Minnesota Twins,AL Central,162,70,92,0,.432,.451,4th of 5,19.0,,734,818,1165976,29.9,28.7,38,17,B.Radke (5.2),T.Kelly (70-92)
1997,Minnesota Twins,AL Central,162,68,94,0,.420,.450,4th of 5,18.5,,772,861,1411064,29.2,28.1,39,18,C.Knoblauch (6.8),T.Kelly (68-94)
1996,Minnesota Twins,AL Central,162,78,84,0,.481,.488,4th of 5,21.5,,877,900,1437352,28.6,25.8,38,18,C.Knoblauch (8.7),T.Kelly (78-84)
1995,Minnesota Twins,AL Central,144,56,88,0,.389,.394,5th of 5,44.0,,703,889,1057667,27.4,25.7,46,22,C.Knoblauch (6.7),T.Kelly (56-88)
1994,Minnesota Twins,AL Central,113,53,60,0,.469,.433,4th of 5,14.0,,594,688,1398565,28.9,28.1,33,16,C.Knoblauch (4.1),T.Kelly (53-60)
1993,Minnesota Twins,AL West,162,71,91,0,.438,.418,5th of 7,23.0,,693,830,2048673,29.7,27.5,41,16,C.Knoblauch (3.6),T.Kelly (71-91)
1992,Minnesota Twins,AL West,162,90,72,0,.556,.561,2nd of 7,6.0,,747,653,2482428,28.7,27.7,39,17,K.Puckett (7.1),T.Kelly (90-72)
1991,Minnesota Twins,AL West,162,95,67,0,.586,.579,1st of 7,--,Won WS (4-3),776,652,2293842,29.1,28.6,35,16,K.Tapani (6.8),T.Kelly (95-67)
1990,Minnesota Twins,AL West,162,74,88,0,.457,.459,7th of 7,29.0,,666,729,1751584,29.5,27.1,39,18,G.Gagne (3.2),T.Kelly (74-88)
1989,Minnesota Twins,AL West,162,80,82,0,.494,.501,5th of 7,19.0,,740,738,2277438,29.4,28.0,43,23,K.Puckett (4.9),T.Kelly (80-82)
1988,Minnesota Twins,AL West,162,91,71,0,.562,.555,2nd of 7,13.0,,759,672,3030672,28.4,30.0,41,20,K.Puckett (7.8),T.Kelly (91-71)
1987,Minnesota Twins,AL West,162,85,77,0,.525,.489,1st of 7,--,Won WS (4-3),786,806,2081976,27.6,31.4,36,17,F.Viola (8.1),T.Kelly (85-77)
1986,Minnesota Twins,AL West,162,71,91,0,.438,.443,6th of 7,21.0,,741,839,1255453,26.8,28.5,38,18,G.Gaetti (5.8),R.Miller (59-80) and T.Kelly (12-11)
1985,Minnesota Twins,AL West,162,77,85,0,.475,.453,4th of 7,14.0,,705,782,1651814,26.3,28.1,36,17,K.Puckett (2.9),B.Gardner (27-35) and R.Miller (50-50)
1984,Minnesota Twins,AL West,162,81,81,0,.500,.499,2nd of 7,3.0,,673,675,1598692,25.7,27.2,39,16,K.Hrbek (5.6),B.Gardner (81-81)
1983,Minnesota Twins,AL West,162,70,92,0,.432,.433,5th of 7,29.0,,709,822,858939,25.9,26.3,35,14,J.Castino (4.5),B.Gardner (70-92)
1982,Minnesota Twins,AL West,162,60,102,0,.370,.401,7th of 7,33.0,,657,819,921186,25.2,25.2,39,17,T.Brunansky (5.6),B.Gardner (60-102)
1981,Minnesota Twins,AL West,110,41,68,1,.376,.387,7th of 7,23.0,,378,486,469090,26.8,27.2,38,14,D.Corbett (2.8),J.Goryl (11-25) and B.Gardner (30-43)
1980,Minnesota Twins,AL West,161,77,84,0,.478,.465,3rd of 7,19.5,,670,724,769206,26.5,28.7,36,14,D.Corbett (5.7),G.Mauch (54-71) and J.Goryl (23-13)
1979,Minnesota Twins,AL West,162,82,80,0,.506,.524,4th of 7,6.0,,764,725,1070521,26.1,29.5,36,16,J.Koosman (7.2),G.Mauch (82-80)
1978,Minnesota Twins,AL West,162,73,89,0,.451,.492,4th of 7,19.0,,666,678,787878,26.9,26.5,33,16,D.Goltz (6.6),G.Mauch (73-89)
1977,Minnesota Twins,AL West,161,84,77,0,.522,.551,4th of 7,17.5,,867,776,1162727,26.6,27.0,36,15,R.Carew (9.7),G.Mauch (84-77)
1976,Minnesota Twins,AL West,162,85,77,0,.525,.525,3rd of 6,5.0,,743,704,715394,26.5,26.6,31,13,R.Carew (6.8),G.Mauch (85-77)
1975,Minnesota Twins,AL West,159,76,83,0,.478,.492,4th of 6,20.5,,724,736,737156,27.6,25.8,35,13,R.Carew (7.8),F.Quilici (76-83)
1974,Minnesota Twins,AL West,163,82,80,1,.506,.503,3rd of 6,8.0,,673,669,662401,28.2,26.4,32,13,B.Blyleven (7.8),F.Quilici (82-80)
1973,Minnesota Twins,AL West,162,81,81,0,.500,.529,3rd of 6,13.0,,738,692,907499,28.0,26.6,33,13,B.Blyleven (9.8),F.Quilici (81-81)
1972,Minnesota Twins,AL West,154,77,77,0,.500,.502,3rd of 6,15.5,,537,535,797901,27.4,26.9,33,12,R.Carew (5.4),B.Rigney (36-34) and F.Quilici (41-43)
1971,Minnesota Twins,AL West,160,74,86,0,.463,.489,5th of 6,26.5,,654,670,940858,28.5,27.3,36,14,B.Blyleven (6.2),B.Rigney (74-86)
1970,Minnesota Twins,AL West,162,98,64,0,.605,.594,1st of 6,--,Lost ALCS (3-0),744,605,1261887,28.6,28.1,35,13,T.Oliva (7.0),B.Rigney (98-64)
1969,Minnesota Twins,AL West,162,97,65,0,.599,.610,1st of 6,--,Lost ALCS (3-0),790,618,1349328,28.9,28.9,36,15,J.Perry (6.5),B.Martin (97-65)
1968,Minnesota Twins,AL,162,79,83,0,.488,.513,7th of 10,24.0,,562,546,1143257,28.2,27.9,33,14,D.Chance (5.2),C.Ermer (79-83)
1967,Minnesota Twins,AL,164,91,71,2,.562,.559,2nd of 10,1.0,,671,590,1483547,28.0,27.5,35,12,H.Killebrew (6.5),S.Mele (25-25) and C.Ermer (66-46)
1966,Minnesota Twins,AL,162,89,73,0,.549,.560,2nd of 10,9.0,,663,581,1259374,27.8,28.2,34,15,T.Oliva (6.4),S.Mele (89-73)
1965,Minnesota Twins,AL,162,102,60,0,.630,.614,1st of 10,--,Lost WS (4-3),774,600,1463258,27.4,28.5,35,15,Z.Versalles (7.2),S.Mele (102-60)
1964,Minnesota Twins,AL,163,79,83,1,.488,.538,6th of 10,20.0,,737,678,1207514,26.9,27.3,44,20,T.Oliva (6.8),S.Mele (79-83)
1963,Minnesota Twins,AL,161,91,70,0,.565,.609,3rd of 10,13.0,,767,602,1406652,27.2,26.7,39,18,B.Allison (7.4),S.Mele (91-70)
