Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2025,Philadelphia Phillies,NL East,162,96,66,0,.593,.583,1st of 5,--,,778,648,3375457,30.3,30.0,47,28,C.Sánchez (8.0),R.Thomson (96-66)
2024,Philadelphia Phillies,NL East,162,95,67,0,.586,.571,1st of 5,--,Lost NLDS (3-1),784,671,3363712,29.1,29.5,47,29,Z.Wheeler (6.1),R.Thomson (95-67)
2023,Philadelphia Phillies,NL East,162,90,72,0,.556,.549,2nd of 5,14.0,Lost NLCS (4-3),796,715,3052605,28.4,29.8,44,26,B.Stott (4.3),R.Thomson (90-72)
2022,Philadelphia Phillies,NL East,162,87,75,0,.537,.540,3rd of 5,14.0,Lost WS (4-2),747,685,2276736,28.2,29.2,56,33,J.Realmuto (6.5),J.Girardi (22-29) and R.Thomson (65-46)
2021,Philadelphia Phillies,NL East,162,82,80,0,.506,.493,2nd of 5,6.5,,734,745,1515890,29.1,28.8,55,35,Z.Wheeler (7.7),J.Girardi (82-80)
2020,Philadelphia Phillies,NL East,60,28,32,0,.467,.493,3rd of 5,7.0,,306,311,,28.5,29.1,46,29,Z.Wheeler (2.8),J.Girardi (28-32)
2019,Philadelphia Phillies,NL East,162,81,81,0,.500,.488,4th of 5,16.0,,774,794,2727421,27.6,28.4,56,34,B.Harper (4.5),G.Kapler (81-81)
2018,Philadelphia Phillies,NL East,162,80,82,0,.494,.467,3rd of 5,10.0,,677,728,2158124,26.7,26.8,48,31,A.Nola (9.2),G.Kapler (80-82)
2017,Philadelphia Phillies,NL East,162,66,96,0,.407,.443,5th of 5,31.0,,690,782,1905354,26.6,26.8,51,31,A.Nola (4.2),P.Mackanin (66-96)
2016,Philadelphia Phillies,NL East,162,71,91,0,.438,.381,4th of 5,24.0,,610,796,1915144,26.9,26.3,49,27,O.Herrera (4.7),P.Mackanin (71-91)
2015,Philadelphia Phillies,NL East,162,63,99,0,.389,.385,5th of 5,27.0,,626,809,1831080,28.0,28.5,50,30,O.Herrera (4.0),R.Sandberg (26-48) and P.Mackanin (37-51)
2014,Philadelphia Phillies,NL East,162,73,89,0,.451,.452,5th of 5,23.0,,619,687,2423852,30.8,30.1,49,26,C.Hamels (6.6),R.Sandberg (73-89)
2013,Philadelphia Phillies,NL East,162,73,89,0,.451,.407,4th of 5,23.0,,610,749,3012403,30.0,28.7,51,27,C.Lee (6.8),C.Manuel (53-67) and R.Sandberg (20-22)
2012,Philadelphia Phillies,NL East,162,81,81,0,.500,.503,3rd of 5,17.0,,684,680,3565718,31.1,29.1,49,24,C.Hamels (5.1),C.Manuel (81-81)
2011,Philadelphia Phillies,NL East,162,102,60,0,.630,.633,1st of 5,--,Lost NLDS (3-2),713,529,3680718,31.4,29.2,42,23,C.Lee (9.0),C.Manuel (102-60)
2010,Philadelphia Phillies,NL East,162,97,65,0,.599,.585,1st of 5,--,Lost NLCS (4-2),772,640,3777322,31.8,31.1,42,21,R.Halladay (8.3),C.Manuel (97-65)
2009,Philadelphia Phillies,NL East,162,93,69,0,.574,.566,1st of 5,--,Lost WS (4-2),820,709,3600693,31.3,31.2,41,22,C.Utley (8.2),C.Manuel (93-69)
2008,Philadelphia Phillies,NL East,162,92,70,0,.568,.573,1st of 5,--,Won WS (4-1),799,680,3422583,30.1,30.6,40,18,C.Utley (9.0),C.Manuel (92-70)
2007,Philadelphia Phillies,NL East,162,89,73,0,.549,.538,1st of 5,--,Lost NLDS (3-0),892,821,3108325,28.8,30.6,46,28,C.Utley (7.8),C.Manuel (89-73)
2006,Philadelphia Phillies,NL East,162,85,77,0,.525,.529,2nd of 5,12.0,,865,812,2701815,29.3,30.5,45,23,C.Utley (7.3),C.Manuel (85-77)
2005,Philadelphia Phillies,NL East,162,88,74,0,.543,.548,2nd of 5,2.0,,807,726,2665304,30.0,29.7,40,19,C.Utley (7.3),C.Manuel (88-74)
2004,Philadelphia Phillies,NL East,162,86,76,0,.531,.533,2nd of 5,10.0,,840,781,3250092,29.3,29.8,39,21,B.Abreu (6.6),L.Bowa (85-75) and G.Varsho (1-1)
