Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2025,Seattle Mariners,AL West,162,90,72,0,.556,.545,1st of 5,--,,766,694,2538053,28.7,27.6,54,33,C.Raleigh (7.3),D.Wilson (90-72)
2024,Seattle Mariners,AL West,162,85,77,0,.525,.549,2nd of 5,3.5,,676,607,2555813,28.9,27.7,50,28,C.Raleigh (4.7),S.Servais (64-64) and D.Wilson (21-13)
2023,Seattle Mariners,AL West,162,88,74,0,.543,.564,3rd of 5,2.0,,758,659,2690418,27.8,27.4,56,35,J.Rodríguez (5.5),S.Servais (88-74)
2022,Seattle Mariners,AL West,162,90,72,0,.556,.547,2nd of 5,16.0,Lost ALDS (3-0),690,623,2287267,27.6,27.9,59,29,J.Rodríguez (6.2),S.Servais (90-72)
2021,Seattle Mariners,AL West,162,90,72,0,.556,.468,2nd of 5,5.0,,697,748,1215985,27.0,28.0,63,38,T.France (4.2),S.Servais (90-72)
2020,Seattle Mariners,AL West,60,27,33,0,.450,.420,3rd of 5,9.0,,254,303,,26.7,26.6,49,29,D.Moore (1.7),S.Servais (27-33)
2019,Seattle Mariners,AL West,162,68,94,0,.420,.426,5th of 5,39.0,,758,893,1791109,27.8,28.6,67,42,M.Gonzales (3.1),S.Servais (68-94)
2018,Seattle Mariners,AL West,162,89,73,0,.549,.478,3rd of 5,14.0,,677,711,2299489,29.8,29.0,53,32,M.Haniger (6.5),S.Servais (89-73)
2017,Seattle Mariners,AL West,162,78,84,0,.481,.487,3rd of 5,23.0,,750,772,2135445,29.6,27.9,61,40,N.Cruz (4.2),S.Servais (78-84)
2016,Seattle Mariners,AL West,162,86,76,0,.531,.538,2nd of 5,9.0,,768,707,2267928,30.5,28.8,54,32,R.Canó (7.3),S.Servais (86-76)
2015,Seattle Mariners,AL West,162,76,86,0,.469,.454,4th of 5,12.0,,656,726,2193581,28.6,28.6,51,28,K.Seager (5.4),L.McClendon (76-86)
2014,Seattle Mariners,AL West,162,87,75,0,.537,.561,3rd of 5,11.0,,634,554,2064334,27.5,29.0,44,20,R.Canó (6.3),L.McClendon (87-75)
2013,Seattle Mariners,AL West,162,71,91,0,.438,.414,4th of 5,25.0,,624,754,1761546,28.6,28.0,47,22,H.Iwakuma (7.0),E.Wedge (71-91)
2012,Seattle Mariners,AL West,162,75,87,0,.463,.477,4th of 4,19.0,,619,651,1721920,27.0,27.9,38,18,F.Hernández (5.3),E.Wedge (75-87)
2011,Seattle Mariners,AL West,162,67,95,0,.414,.412,4th of 4,29.0,,556,675,1896321,29.3,26.8,47,21,B.Ryan (4.2),E.Wedge (67-95)
2010,Seattle Mariners,AL West,162,61,101,0,.377,.363,4th of 4,29.0,,513,698,2085630,29.6,27.1,47,22,F.Hernández (7.1),D.Wakamatsu (42-70) and D.Brown (19-31)
2009,Seattle Mariners,AL West,162,85,77,0,.525,.464,3rd of 4,12.0,,640,692,2195533,29.9,27.4,46,20,F.Gutiérrez (6.6),D.Wakamatsu (85-77)
2008,Seattle Mariners,AL West,162,61,101,0,.377,.414,4th of 4,39.0,,671,811,2329702,29.7,28.5,44,22,A.Beltré (5.6),J.McLaren (25-47) and J.Riggleman (36-54)
2007,Seattle Mariners,AL West,162,88,74,0,.543,.489,2nd of 4,6.0,,794,813,2672223,29.9,28.1,44,23,I.Suzuki (5.8),M.Hargrove (45-33) and J.McLaren (43-41)
2006,Seattle Mariners,AL West,162,78,84,0,.481,.479,4th of 4,15.0,,756,792,2481165,28.7,28.0,49,25,A.Beltré (5.4),M.Hargrove (78-84)
2005,Seattle Mariners,AL West,162,69,93,0,.426,.467,4th of 4,26.0,,699,751,2725459,28.7,31.4,48,21,I.Suzuki (3.9),M.Hargrove (69-93)
2004,Seattle Mariners,AL West,162,63,99,0,.389,.425,4th of 4,29.0,,698,823,2940731,31.6,30.4,48,23,I.Suzuki (9.2),B.Melvin (63-99)
2003,Seattle Mariners,AL West,162,93,69,0,.574,.600,2nd of 4,3.0,,795,637,3268509,32.0,29.8,37,18,B.Boone (5.9),B.Melvin (93-69)
2002,Seattle Mariners,AL West,162,93,69,0,.574,.569,3rd of 4,10.0,,814,699,3542938,31.2,30.2,40,19,J.Moyer (5.6),L.Piniella (93-69)
