Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2025,San Francisco Giants,NL West,162,81,81,0,.500,.514,3rd of 5,12.0,,705,684,2925823,28.2,29.8,53,31,M.Chapman (4.1),B.Melvin (81-81)
2024,San Francisco Giants,NL West,162,80,82,0,.494,.496,4th of 5,18.0,,693,699,2647736,28.7,27.3,58,31,M.Chapman (7.1),B.Melvin (80-82)
2023,San Francisco Giants,NL West,162,79,83,0,.488,.470,4th of 5,21.0,,674,719,2500153,28.5,30.0,52,24,L.Webb (5.6),G.Kapler (78-81) and K.Correa (1-2)
2022,San Francisco Giants,NL West,162,81,81,0,.500,.512,3rd of 5,30.0,,716,697,2482686,30.0,29.1,66,34,C.Rodón (5.2),G.Kapler (81-81)
2021,San Francisco Giants,NL West,162,107,55,0,.660,.635,1st of 5,--,Lost NLDS (3-2),804,594,1679484,30.6,29.7,54,34,B.Crawford (6.1),G.Kapler (107-55)
2020,San Francisco Giants,NL West,60,29,31,0,.483,.503,3rd of 5,14.0,,299,297,,29.8,29.0,45,23,M.Yastrzemski (2.7),G.Kapler (29-31)
2019,San Francisco Giants,NL West,162,77,85,0,.475,.440,3rd of 5,29.0,,678,773,2707760,29.9,28.9,64,35,J.Samardzija (3.4),B.Bochy (77-85)
2018,San Francisco Giants,NL West,162,73,89,0,.451,.433,4th of 5,18.5,,603,699,3156185,29.8,28.6,48,27,B.Posey (3.0),B.Bochy (73-89)
2017,San Francisco Giants,NL West,162,64,98,0,.395,.412,5th of 5,40.0,,639,776,3303652,29.5,28.9,49,22,B.Posey (4.1),B.Bochy (64-98)
2016,San Francisco Giants,NL West,162,87,75,0,.537,.557,2nd of 5,4.0,Lost NLDS (3-1),715,631,3365256,29.1,30.0,45,25,M.Bumgarner (5.6),B.Bochy (87-75)
2015,San Francisco Giants,NL West,162,84,78,0,.519,.548,2nd of 5,8.0,,696,627,3375882,28.9,31.5,48,21,B.Crawford (6.0),B.Bochy (84-78)
2014,San Francisco Giants,NL West,162,88,74,0,.543,.536,2nd of 5,6.0,Won WS (4-3),665,614,3368697,28.6,31.7,46,21,B.Posey (5.1),B.Bochy (88-74)
2013,San Francisco Giants,NL West,162,76,86,0,.469,.457,3rd of 5,16.0,,629,691,3369106,28.7,29.6,44,21,B.Posey (5.3),B.Bochy (76-86)
2012,San Francisco Giants,NL West,162,94,68,0,.580,.546,1st of 5,--,Won WS (4-0),718,649,3377371,27.8,30.0,45,23,B.Posey (7.6),B.Bochy (94-68)
2011,San Francisco Giants,NL West,162,86,76,0,.531,.494,2nd of 5,8.0,,570,578,3387303,30.2,28.5,44,17,P.Sandoval (6.0),B.Bochy (86-76)
2010,San Francisco Giants,NL West,162,92,70,0,.568,.581,1st of 5,--,Won WS (4-1),697,583,3037443,29.6,27.9,42,19,A.Huff (5.7),B.Bochy (92-70)
2009,San Francisco Giants,NL West,162,88,74,0,.543,.533,3rd of 5,7.0,,657,611,2862110,29.0,28.7,44,21,T.Lincecum (7.4),B.Bochy (88-74)
2008,San Francisco Giants,NL West,162,72,90,0,.444,.423,4th of 5,12.0,,640,759,2863837,29.6,27.1,49,20,T.Lincecum (8.0),B.Bochy (72-90)
2007,San Francisco Giants,NL West,162,71,91,0,.438,.476,5th of 5,19.0,,683,720,3223215,32.7,27.3,44,22,M.Cain (4.3),B.Bochy (71-91)
2006,San Francisco Giants,NL West,161,76,85,0,.472,.474,3rd of 5,11.5,,746,790,3130313,33.7,28.7,44,21,B.Bonds (4.0),F.Alou (76-85)
