Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2025,St. Louis Cardinals,NL Central,162,78,84,0,.481,.459,4th of 5,19.0,,689,754,2250007,26.6,29.5,44,24,B.Donovan (2.7),O.Marmol (78-84)
2024,St. Louis Cardinals,NL Central,162,83,79,0,.512,.469,2nd of 5,10.0,,672,719,2878115,27.7,30.8,44,25,M.Winn (4.9),O.Marmol (83-79)
2023,St. Louis Cardinals,NL Central,162,71,91,0,.438,.435,5th of 5,21.0,,719,829,3241091,27.5,29.7,52,28,W.Contreras (3.3),O.Marmol (71-91)
2022,St. Louis Cardinals,NL Central,162,93,69,0,.574,.587,1st of 5,--,Lost NLWC (2-0),772,637,3320551,28.8,29.4,51,32,N.Arenado (7.9),O.Marmol (93-69)
2021,St. Louis Cardinals,NL Central,162,90,72,0,.556,.523,2nd of 5,5.0,Lost NLWC (1-0),706,672,2102530,28.5,30.1,51,33,T.O'Neill (6.4),M.Shildt (90-72)
2020,St. Louis Cardinals,NL Central,58,30,28,0,.517,.521,2nd of 5,3.0,Lost NLWC (2-1),240,229,,28.9,27.6,44,26,P.Goldschmidt (2.0),M.Shildt (30-28)
2019,St. Louis Cardinals,NL Central,162,91,71,0,.562,.565,1st of 5,--,Lost NLCS (4-0),764,662,3480393,28.8,27.8,43,23,J.Flaherty (5.9),M.Shildt (91-71)
2018,St. Louis Cardinals,NL Central,162,88,74,0,.543,.543,3rd of 5,7.5,,759,691,3403587,28.1,26.7,49,30,M.Mikolas (5.3),M.Matheny (47-46) and M.Shildt (41-28)
2017,St. Louis Cardinals,NL Central,162,83,79,0,.512,.535,3rd of 5,9.0,,761,705,3448337,28.0,28.3,48,25,T.Pham (6.3),M.Matheny (83-79)
2016,St. Louis Cardinals,NL Central,162,86,76,0,.531,.541,2nd of 5,17.5,,779,712,3444490,28.5,28.0,41,21,C.Martínez (6.1),M.Matheny (86-76)
2015,St. Louis Cardinals,NL Central,162,100,62,0,.617,.594,1st of 5,--,Lost NLDS (3-1),647,525,3520889,28.4,28.2,46,23,J.Heyward (7.0),M.Matheny (100-62)
2014,St. Louis Cardinals,NL Central,162,90,72,0,.556,.512,1st of 5,--,Lost NLCS (4-1),619,603,3540649,28.6,27.2,46,24,A.Wainwright (6.4),M.Matheny (90-72)
2013,St. Louis Cardinals,NL Central,162,97,65,0,.599,.622,1st of 5,--,Lost WS (4-2),783,596,3369769,28.7,26.9,44,25,M.Carpenter (6.6),M.Matheny (97-65)
2012,St. Louis Cardinals,NL Central,162,88,74,0,.543,.575,2nd of 6,9.0,Lost NLCS (4-3),765,648,3262109,29.2,28.6,45,24,Y.Molina (7.2),M.Matheny (88-74)
2011,St. Louis Cardinals,NL Central,162,90,72,0,.556,.544,2nd of 6,6.0,Won WS (4-3),762,692,3093954,29.3,30.2,46,24,A.Pujols (5.3),T.La Russa (90-72)
2010,St. Louis Cardinals,NL Central,162,86,76,0,.531,.563,2nd of 6,5.0,,736,641,3301218,28.8,30.2,42,22,A.Pujols (7.5),T.La Russa (86-76)
