Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2025,Toronto Blue Jays,AL East,162,94,68,0,.580,.546,1st of 5,--,,798,721,2849935,28.1,31.1,58,38,G.Springer (4.8),J.Schneider (94-68)
2024,Toronto Blue Jays,AL East,162,74,88,0,.457,.454,5th of 5,20.0,,671,743,2681236,28.1,30.5,56,34,V.Guerrero (6.2),J.Schneider (74-88)
2023,Toronto Blue Jays,AL East,162,89,73,0,.549,.548,3rd of 5,12.0,Lost ALWC (2-0),746,671,3021904,28.8,30.6,46,27,B.Bichette (4.8),J.Schneider (89-73)
2022,Toronto Blue Jays,AL East,162,92,70,0,.568,.560,2nd of 5,7.0,Lost ALWC (2-0),775,679,2653830,27.1,29.7,51,33,A.Manoah (6.0),C.Montoyo (46-42) and J.Schneider (46-28)
2021,Toronto Blue Jays,AL East,162,91,71,0,.562,.610,4th of 5,9.0,,846,663,805901,26.8,29.1,62,38,M.Semien (7.1),C.Montoyo (91-71)
2020,Toronto Blue Jays,AL East,60,32,28,0,.533,.485,3rd of 5,8.0,Lost ALWC (2-0),302,312,,25.9,29.5,49,29,H.Ryu (2.9),C.Montoyo (32-28)
2019,Toronto Blue Jays,AL East,162,67,95,0,.414,.440,4th of 5,36.0,,726,828,1750144,25.9,28.0,61,39,C.Biggio (3.1),C.Montoyo (67-95)
2018,Toronto Blue Jays,AL East,162,73,89,0,.451,.427,4th of 5,35.0,,709,832,2325281,29.0,29.3,63,36,J.Smoak (2.5),J.Gibbons (73-89)
2017,Toronto Blue Jays,AL East,162,76,86,0,.469,.444,4th of 5,17.0,,693,784,3203886,31.0,28.8,60,34,M.Stroman (5.2),J.Gibbons (76-86)
2016,Toronto Blue Jays,AL East,162,89,73,0,.549,.560,2nd of 5,4.0,Lost ALCS (4-1),759,666,3392099,30.1,29.8,49,29,J.Donaldson (7.3),J.Gibbons (89-73)
