Team	lg	po	bye	wcs	ds	lcs	ws
Milwaukee Brewers	NL	1000000	1000000	0	542891	296117	166054
Philadelphia Phillies	NL	1000000	1000000	0	532962	261629	140193
Los Angeles Dodgers	NL	1000000	0	586749	285975	139990	73166
Chicago Cubs	NL	1000000	0	555730	265444	135460	71590
San Diego Padres	NL	1000000	0	444270	192125	89499	43403
New York Mets	NL	725440	0	296523	129987	55881	25912
Cincinnati Reds	NL	258861	0	110251	47879	20273	9311
Arizona Diamondbacks	NL	15699	0	6477	2737	1151	534
Seattle Mariners	AL	1000000	1000000	0	526810	258556	121325
New York Yankees	AL	1000000	405139	315284	391911	217730	111512
Toronto Blue Jays	AL	1000000	594861	214701	379749	188209	84597
Boston Red Sox	AL	990207	0	488253	246196	129555	62886
Detroit Tigers	AL	847252	0	435394	210525	100730	45914
Cleveland Guardians	AL	894132	0	402275	178776	76034	31129
Houston Astros	AL	268409	0	144093	66033	29186	12474
							
							
Team	lg	1	2	3	4	5	6
Milwaukee Brewers	NL	981698	18302	0	0	0	0
Philadelphia Phillies	NL	18302	981698	0	0	0	0
Los Angeles Dodgers	NL	0	0	1000000	0	0	0
Chicago Cubs	NL	0	0	0	942341	57659	0
San Diego Padres	NL	0	0	0	57659	942341	0
New York Mets	NL	0	0	0	0	0	725440
Cincinnati Reds	NL	0	0	0	0	0	258861
Arizona Diamondbacks	NL	0	0	0	0	0	15699
Toronto Blue Jays	AL	509845	85016	0	405139	0	0
New York Yankees	AL	374818	30321	0	594861	0	0
Seattle Mariners	AL	115337	884663	0	0	0	0
Cleveland Guardians	AL	0	0	664644	0	39766	189722
Detroit Tigers	AL	0	0	335356	0	183285	328611
Boston Red Sox	AL	0	0	0	0	766141	224066
Houston Astros	AL	0	0	0	0	10808	257601
